source_text,target_text,predicted,original
@jordanknight YOU GUYS LOOK SO DAMN FINE IN SUITS,positive,negative,positive
@Michelle___C do it you wont be sorry!,positive,positive,positive
Today i'm missing metallica,negative,negative,negative
"nope, it's all changed. new lessons and shiz. i have a lot of double historys but many frees before lunch. fingers crossed they're same!",negative,negative,negative
goodnght tweeties who don't pay attention to anything i write! byeeeeeeeeee,negative,positive,negative
Siwy Madeleine Cutoff Shorts is growing on me http://bit.ly/pBuhe,positive,positive,positive
@annemarie5353 No dress code= nice! Lonely and boring= not so nice. Come to NY and visit me! ROAD TRIP!,negative,positive,negative
uploading a video in youtube,positive,positive,positive
@kodaknharlem seee i told u facebook was the truth just run along bff and sign up,positive,positive,positive
"And after voting, i go canoeing. Unfortunately the weather is quite bad #outdoorsport",negative,negative,negative
tryin to figure out how to use twitter...and wondering y photos are nt uploading...,negative,negative,negative
@mcflyharry http://twitpic.com/3wbjr - what have you done to poor tom,negative,negative,negative
Manohara Odelia Pinot is FREE now,positive,positive,positive
guess am the only one in the entire world who can go wrong even in cooking maggi (,negative,positive,negative
"@CFP_x It was such a stressful interview! They asked odd questions. Still, will hopefully find out next week!",negative,negative,negative
@lindyjomac Lindy i'm trying! no luck yet...,negative,negative,negative
@kirstiealley check our Marleycoffee.com and your DM!!! So did you call LV btw?,positive,positive,positive
one more week to enjoy parties.. next week i'll be busy again no more parties for me anymore,negative,negative,negative
"@MerewichDaBitch I've been unlocked for decades now...just not lucky, never have been. Gottta make my own luck and that involves $$$$$",negative,negative,negative
"@mikenyff I do like the Sennheiser MKH415, it's an older 416 w/ 12v power; an adapter is needed to normal XLR. Amazing audio thx to eBay",positive,positive,positive
"@morganmarie Ah, I see. Soup!? Always fun when u get something good offline and have it delivered (like a present to self of sorts).",positive,positive,positive
"Jogging, isnt REALLY that cool, especially if you've got a fever",negative,negative,negative
@Bizarre57 I cant stand those trees,negative,negative,negative
Taking a break at practice. I love her so much.,positive,positive,positive
@sylviebardoczi: i have to do like you!,positive,positive,positive
back at my cousin's grad party. just saw my link kid. Oh my gosh! My first batch of kids are high school graduates,positive,positive,positive
@bodylikemind hey how are you? xxx,positive,positive,positive
@joker47man what is that maybe im confused lol,negative,negative,negative
"@twitchinggrey of course I will not rest till I make Twilight sales numbers seem paltry, but of course that will take bit of time.",positive,positive,positive
"@foiledcupcakes it's just my eldest ... she's pretty out of it. I hadn't seen that show in yrs, it was still entertaining! LOL",negative,negative,negative
BEP - Missing you !! Great song !! http://dipdive.com/member/iamwill/blog/4697,positive,positive,positive
Watching Pee Wee's Big Adventure with the Kids. RIP Phil Hartman,negative,negative,negative
@kayla14xoox hooray for half day,positive,positive,positive
"Feeling ambitious Reworking the website, calling my biz associates to book - &quot;How to fund the growth of your business&quot;, finance training",positive,positive,positive
@chachizzle you talk too much,negative,negative,negative
"Planning lots of summer @junction49 sessions whilst listening to @passionpit... ahh. Full of cold today... need a duvet, soup and cuddles",negative,negative,negative
"In the car on the motorway, going to go shopping",positive,positive,positive
"I don't know what to do! I really wanna quit, but maybe I'll make next week my last week...maybe...*sighs* How'd I get myself into this?",negative,negative,negative
"@applev just don' my job, ma'am.",positive,positive,positive
The lens cost double of my frame. I'm blind as a bat n astigmatism is an old old friend of mine. http://mypict.me/5z2g,negative,negative,negative
enjoying the xbox 360 fun! free things really ARE worth what you pay for them!!,positive,positive,positive
Workin for 12 and a half hours today ABC after it but. Always good.,negative,negative,negative
@blobyblo wear a sandwich board that says &quot;FOLLOW ME ON TWITTER&quot; and walk around seoul,positive,positive,positive
@fireworksheart agreeeeeed,negative,positive,negative
Broke my screen on my phone sad day.,negative,negative,negative
@cathyrigby You could always swing by Office Depot to see me... Lol,negative,positive,negative
Up to my eyes in paperwok at the moment. Swine Flu really taking off in South Glasgow,negative,positive,negative
@xohanna nawww thats nice i like you to... ill quote you here 'but not in a lesbo way' lol (Y),positive,positive,positive
O no! The movie theater lost power and we're trying to watch UP! #trackle,negative,negative,negative
@syd_harb_kayaks Congrats Shannon on the birth of Billie Ella. The love of a daughter is the purest love a man will ever experience.,positive,positive,positive
Off to work now and last day of the easter holidays so back to college aswell tommorow,negative,negative,negative
@BreeOlson9 I'll give you one.,positive,positive,positive
I'm not a backstabber. Ugh. Idk what to dooooo,negative,negative,negative
Good Morning everyone http://plurk.com/p/xgclw,positive,positive,positive
Handy having Samaritans opposite for those dark days although i cant open the windows so quite safe,negative,positive,negative
doctor says inflammation of stomach lining. gave me meds for peptic ulcer,negative,negative,negative
Lol ok ok dank is NOT the equivalent of drank. Fuck,negative,positive,negative
@Justcillee watch a movie,positive,positive,positive
going to bed,positive,positive,positive
My desktop is finally clean packing day today!,positive,positive,positive
I miss my family in Texas,negative,negative,negative
I need some........... Its been too long,negative,negative,negative
"Woot. Looks like I'll be watching the last 2 episodes to 24, season 7 tonight",positive,negative,positive
@heidiheartshugs so not even &quot;I Kissed a Girl&quot; would convince you to join the train?,positive,negative,positive
no one's tweeting,negative,negative,negative
GRADUATED ! PUJI TUHAN ! THANKS GOD,positive,positive,positive
@sachin_cas i also feel the same,negative,negative,negative
"@WhiteHotTruth When you come to Atlanta, we have at LEAST four different streets named &quot;Peachtree&quot;. Knowing the cross st. won't help",negative,negative,negative
baking some cookies with my sister text me?!*,positive,positive,positive
"@Huffleduck So, the rule is to never shop while hungry, or you buy too much... does that also apply for ordering for delivery?",positive,positive,positive
last day of school,negative,negative,negative
just got home from the beach and sadly enough i left my celly there...i am out of contact with the outside for going on 13 hours,negative,negative,negative
"@Non_Pacem Several people are moving this summer, the one you would know is Jessi. She is moving to Cape Cod.",negative,positive,negative
@ashcoates http://twitpic.com/7jctu - Why are you taking an x-box?,positive,negative,positive
I lost my $20 bill I just got. Pretty sure it fell out of my back pocket and burgled from me. Sport event tonight in Katzweiler.,negative,negative,negative
Thanx @womeninbiz for the follow !,positive,positive,positive
@TheFaultySanity i just did it,positive,positive,positive
watchin' an airplane. want to fly away.,negative,negative,negative
kay bak 2 coursework at loik 1:57 am in da morn! Nice huh gt twitetrakd...come on R get dis finished with &amp; givem teachaz a shokoderlyf!,negative,positive,negative
@acsweeney That's just not right. i finally got to try mine and it's cold.,negative,negative,negative
@LJsBaby Good morning to you,positive,positive,positive
"@erinlinnea that sucks... i was asking about the constructions workers though, haha.",negative,negative,negative
@Sanrioluver well if I come back to the room n he's floating upside down I dunno what ill do. I'm gonna need u to take care of that,negative,negative,negative
so after my run I'm feeling a little sick,negative,negative,negative
"suppose i'll be off to bed.... bonne nuit mon amis, reves doux",positive,positive,positive
at work wondering when i will lose my job like everyone else,negative,negative,negative
"@SongzYuuup im in CT!!!! trey songz i love you and your music, i want you to put my number in YOUR phone",positive,positive,positive
school ends. I miss u all Yesterday was great,negative,negative,negative
Just got home....I am super tired. I think I am going to take 30 min nap,positive,positive,positive
@stoptheday haha thanks! maybe i'll consider it for reals then,positive,positive,positive
@drummrboy I can't,negative,negative,negative
I really want to modify the BIOS on this thing . WHY IS IT SO DIFFICULT. IT SHOULD WORK.,negative,negative,negative
@briannababyyy The Audition is playing here? DAMN! I work friday too,negative,negative,negative
Going to see the Cezanne and Beyond exhibit today at the Philadelphia Art Museum! Loving the sunshine today,positive,positive,positive
"I think I got a flu. Aw shit, not a good way to start a holiday",negative,negative,negative
@DSylvan your tweet was just included in The Longest Poem in the World www.longestpoemintheworld.com/tweet/12085/,positive,positive,positive
#PhilipGlass in 2.5 hours. So excited ? http://blip.fm/~4js4g,positive,positive,positive
feeling sick blaaaaaaaa *be sick*of school people would be jolly but iwont get the 100% attendce award it so cool and i wont get one,negative,negative,negative
Need To Have Fun So Bored x,negative,negative,negative
@lovemelissa whaaa. What did he do? I wanna know now though,negative,negative,negative
@CHRISDJMOYLES when are you heading back up to Leeds?,positive,negative,positive
@LostInInaka Turn R&amp;J into drinking game 2 keep you alert. Tally references w/ friends 4 l8r http://tinyurl.com/pbmkfr,positive,positive,positive
"@JackysPoodle Haha! Thanks for this arvo - loved it. See u soon Also, keep the 24th free if u can xx",positive,positive,positive
"@bradlinder one more reason to live in italy. here only sun, even in January",positive,negative,positive
"Up! Had lunch with the fam, then getting ready and seeing what the day has to offer",positive,positive,positive
"spent the whole day editing in Pro Tools...i luvvv this thing and am becoming quite the pro, but it gives me insane headaches.",negative,negative,negative
"So tired from the VPA show, but whatever, it was all worth it. Everyone's love made it all worth it",positive,positive,positive
Morning all... Just walking down to get a coffee. Shouldve drove down! I can't feel my face with the wind,negative,negative,negative
"Wow, only 92 days left till my big sisters wedding! Can't wait",positive,positive,positive
Im evidently going to be involved with a promotion tomorrow Watch for my pic avatar change,positive,positive,positive
The shampoo/conditioner I bought makes my hair too soft. Normal people would want that but now I can't style my hair the way I want.,negative,negative,negative
@cha_rade about time Kuya John!!!! Geeezzzz!!!!! mwah!!!!,positive,positive,positive
"I'm making some sort of improvement - I'm at 60% now. Okay, so it's not substantial improvement but from 42%, I'm getting somewhere!",positive,positive,positive
this will be my earliest tweet so far. Throat is killing. bed today I think,negative,negative,negative
@StephenMullen happy star wars day to you to. :/,positive,positive,positive
@shonali Good morning and you are welcome,positive,positive,positive
@bayboy_4real what? you're hurting my feelings I didn't even do anything!,negative,negative,negative
@tuesdaynight He use Wordpress to make community!!! Ok lah maybe I am wrong to be jealous but WTH HOR.,negative,positive,negative
"@iWebrarian Omgili = Oh My God I Love It. The G sounds like the G in God, the ili sounds like the &quot;eally&quot; in really",positive,positive,positive
ugghhh.. I WANT MY PARACETAMOL!,negative,negative,negative
@nickhalstead already seeing it in action,positive,positive,positive
@evanbirch In A Couple Of Weeks Im Sure They Will Be Cheery Again ^^,negative,positive,negative
@caitak or get a new computer?,negative,negative,negative
Chemistry test soon...,negative,negative,negative
@bitchmobile boondock saints taught me the word &quot;FUCK&quot;! they are making a number 2!,positive,positive,positive
@greghurtault went went went...he's still kicking,negative,positive,negative
"@MandyPandy32 Morning!!! Mr. Tweet 'recommended' you hence my follow ~ hope that's OK, look forward to reading your tweets x",positive,positive,positive
"I don't understand why I struggle with fatigue so much during day shift, compared to night. I ache all over",negative,negative,negative
My first time here... so I'm trying to figure out if I like it,positive,positive,positive
"@dougiemcfly @tommcfly good morning guys, how are you all? You know, it's frustrating, I never get a reply",negative,negative,negative
"@McCainBlogette Congrats! I cuss like that in a matter of minutes, But didn't know until now there is a reward for it.",positive,positive,positive
@stacyharp I think we could find you a job,positive,positive,positive
Heading to @feliciaslounge and then to @ithacafestival and dance our **** off to the Destination.,positive,positive,positive
@JASONNIAD Shut up. PS Chris johnson was walking around with a cane yesterday. I asked him if he was taking classes but he didn't get it,negative,negative,negative
@mrbeaks i am never revealing what i saw . will come out in therapy years from now.,negative,negative,negative
@rannyify hahaha i think so but i dont have it,negative,negative,negative
Hmmmm... and not especially impressed,negative,negative,negative
"P-l-i-c-t-i-s-e-a-l-a. I can spell it, wow!",positive,positive,positive
LOL the british judge on masterchef said frick. I thought of was funny,positive,positive,positive
@ryanlmao sore i accidently sat on them this morning cuz i normally have one leg up when im on the computer hru anyway,negative,negative,negative
Has finally decided to give twitter anothe chance...it's only been 6 months,positive,negative,positive
I so wish I had more money. The pub was quite nice at lunch-time,negative,negative,negative
"I'm sorry Chattanooga... You're just not my favorite city I don't hate you by any means, but I like Nashville way better",negative,negative,negative
@FrshPriince awesome,positive,positive,positive
"@maddrell argh Murray is out!! Hopefully Wimbledon? Now keep your fingers crossed for our little Frenchie, I think he does deserve it",positive,positive,positive
Let's go world...we have so much 2 do,positive,negative,positive
"@Marieeeee20 haha, thanks? lol",positive,positive,positive
"@XaosQueen Can't blame you, it's pretty well hidden",positive,positive,positive
"I'm bummed, how does Madden support 32 people in online franchise, but NCAA only 12 in OD #e3",negative,negative,negative
"@combosfollow I think all we own it the new one I know, super sad!",negative,negative,negative
"@krystynzilla honestly, you're amazing. thank you",positive,positive,positive
"I am exhausted, but it was worth it! I got to see her beautiful smile over and over again.",positive,positive,positive
@govgurl no frowns k?,positive,negative,positive
"@mandsywoo nighty nite... Oh btw.. I keep forgetting to ask you, how's your son now?? Roni's Eczema is gettin better! thank god.. xxx",positive,negative,positive
lets have sum funn this beat is sick i wanna take a ride on yur disco stick,positive,negative,positive
Sorry if what I said made you feel bad. Really sorry,negative,negative,negative
"@fallenwiccan okay, yes, total geekgasm at the video which was outstanding - and as a Sith way too fun, but theres still no gameplay gfx",negative,negative,negative
@colleenpence Oh mama! I feel for you!!!,negative,negative,negative
@Dezz_MCR hey! dont u think of me as a friend?,negative,positive,negative
"Ok, that's it. Next kid that whines has to wash the cat. And I'M NOT KIDDING!!",negative,negative,negative
"http://www.hotcelebritystars.com/pictures/tomfelton01.jpg if i married him, we could celebrate our birthdays on the same day",positive,positive,positive
"this birthday is getting better, had a nice homemade lunch and am now watching Full House with my mum good times.",positive,positive,positive
"Off to do my school concert for Mr Raw. I'll miss him We're singing Lion King, Pretty a-mazing.",negative,negative,negative
getting ready,positive,positive,positive
"Hello Twitter, still quite sad really",negative,negative,negative
"@Pensm Aw, congratulations! I loooooooooove Stratford-Upon-Avon. Hope the weather was kind to you.",positive,positive,positive
Just realized how big of a nerd I am. Found out Netflix has Earth2 and giggled like a school girl.,positive,positive,positive
@hardcoreroyalty count me in!!!...unless I'm one of the assholes in ur life then forget it...buy ya own damn coffee!!!,positive,positive,positive
@yelyahwilliams Hey! When are you guys supposed to put out your new album?,positive,positive,positive
@wilw HEAT WATCH does appear to be the natural sibling to STORM WATCH. And yet... really?,positive,negative,positive
Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon,negative,negative,negative
Facebook is sucking a whole lot lately. Watching TV and going to bed. Opening tomorrow Goodnight everyone.,negative,positive,negative
actuelly not off to the TV,negative,negative,negative
$GBPJPY covered short position giving back my session gains ...perfect lesson on the consequences of not cutting your losses quick,negative,positive,negative
@nick_carter you and BSB just took a nose dive. 12 years of my life wasted. Disappointing very disappointing,negative,negative,negative
@mitchelmusso http://twitpic.com/6b5i1 - COME TO THE CITY!!!!!!!!!!!,negative,positive,negative
"woo! got a superman t-shirt! however, it does not make me fly....nor shoot lasers from my eyes what a ripoff!",negative,negative,negative
"I'll be the chemical kid and you my mechanical bride.&lt;3 Pierce the Veil and their Ukeleles make me smile, that is for you.",positive,positive,positive
relaxin,positive,positive,positive
@fjfonseca Thanks,positive,positive,positive
"@ColinMackay TBH I'm not sure if it's the 1.5 vs 1.6 thing that caused the problem, I've had so many it's hard to know what caused what",negative,negative,negative
@Madsoli3 I need a twitpic of baby Olive to inspire me ...feeling overwhelmed w/ info ....,negative,negative,negative
Alias bom dia twitters,positive,positive,positive
Experiencing the painfully SLOW Indian bureaucratic system...,negative,negative,negative
@Out_Inc I am lost. Please help me find a good home.,negative,negative,negative
@myagxxx I see u made it. Don't hurt'em too bad out there. They already out of the playoffs lmfao,positive,negative,positive
Twitter is kinda boring no one accepts you and when you try search for your friends nothing comes up im getting bored i only hav 1 person,negative,negative,negative
just working YAY!,negative,positive,negative
"okay, TOEFL LESSON tonight will be soo damn boring if the subject is reading",negative,negative,negative
Everyone should follow @technotetris cus she is in the trending topics.,positive,positive,positive
@fuelwrnchr You too Fred! Sounds like you are busy! Good busy!,positive,positive,positive
yet another day at the office,positive,negative,positive
@jessicaanne21 i have a similar raccoon tan!! oh well. sorry i missed out tonight,negative,negative,negative
@letsgoplay after u die ill set ur 5 kernels out in the sun and EAT them.,positive,positive,positive
@danlopez2012 thank you u rock!,positive,positive,positive
@jshe LOL it's just an example that what students can use twitter for...to ask questions,positive,positive,positive
Night night. It's raining outside though,negative,negative,negative
"@sheraan Thanks Any apps that actually give time, instead of waste it? I'd pay for those...",positive,positive,positive
damn it. I have work from 8p.m - 1a.m,negative,negative,negative
@missynickyxx for Britains Got Talent? What did you do?,positive,positive,positive
i cant believe billy died.,negative,negative,negative
it's so boring,negative,negative,negative
buuuuuuut. i'm going to continue reading new moon. cause i love edward. gosh. i need to find me one of him. now that would be amazing &lt;3,positive,positive,positive
@ Everyone.... I can send you a DM if you are NOT foolwing me....that hurts....sadfaced ME....,negative,negative,negative
I just got new pants today . . . I just spilled copier toner all over them.,negative,negative,negative
@muzikfreak147 hahahahahahaa good job. Well u shud just turn around. Say u forgot ur underwear.,positive,positive,positive
Pretty awesome day today. Made lots of decisions. Only 12 days till Nationals start,positive,positive,positive
British open tomorrow Oh yeah,positive,positive,positive
Reading eclipse hope this one takes me more than 4 days to read lol,positive,negative,positive
@jerrycooke No no no! I saw that first tweet (went to my phone). It was much sweeter than what you replaced it with. PS. I love you too.,positive,positive,positive
loves that @swiftkaratechop @Toddly00 are going to 789! But she hates that all her tweets are lame fan girl @replies,negative,negative,negative
Waiting for the attorney to send me a taxi.,negative,negative,negative
@sparklebracelet not good think there gona take her off life support right now!!,negative,negative,negative
@BT What a beautiful deer. Excellent photo and heartbreaking at the same time. you are a kind soul sir,negative,positive,negative
"@Scriblit ... sorry to hear that. Must have been awful. Take heart - milk teeth not, but kids are v resilient... *hug*",negative,negative,negative
@2huu hoh thigolaa ehba uhlhen dho dhuniyeyga u have ps3 tha lets do network gameplay,positive,positive,positive
frozen yogurt.,positive,positive,positive
@chriscuzzy Chris...what are the chances you could come visit us at http://www.tinychat.com/17t1fa Please and thank you,positive,positive,positive
HAVE CHANGED...,negative,negative,negative
my #followfirday buddy is @aagil4 follow him,positive,positive,positive
"@sarchet62 eek! Take care of yourself, I just assumed you were swamped w/pre-MLA.",negative,positive,negative
"saw Ghosts of Girlfriends Past, and loved it",positive,positive,positive
